episode,score,return,epsilon,best_score,steps,loss
104,0,-5.0836,0.96048,1,9,0.005245079752057791
105,0,-5.0515,0.9601,1,6,0.0038853283040225506
106,0,-5.0728,0.95972,1,8,0.032601043581962585
107,0,-5.0,0.95934,1,1,0.007818196900188923
108,0,-5.0306,0.95896,1,4,0.06368746608495712
109,0,-5.0,0.95858,1,1,0.012651869095861912
110,1,-4.5931,0.9582,1,11,0.01141983550041914
111,0,-5.041,0.95782,1,5,0.009896079078316689
112,0,-5.0945,0.95744,1,10,0.015046210028231144
113,1,-4.7396,0.95706,1,24,0.021732613444328308
114,0,-5.0306,0.95668,1,4,0.011025723069906235
115,0,-5.0,0.9563,1,1,0.010832098312675953
116,0,-5.0203,0.95592,1,3,0.005209547933191061
117,0,-5.0,0.9555400000000001,1,1,0.008740250952541828
118,0,-5.0306,0.95516,1,4,0.007375868037343025
119,0,-5.0306,0.95478,1,4,0.011446463875472546
120,0,-5.0621,0.9544,1,7,0.006943682208657265
121,0,-5.0,0.95402,1,1,0.0068345824256539345
122,0,-5.0,0.95364,1,1,0.009876708500087261
123,1,-4.6472,0.95326,1,16,0.004806549288332462
124,0,-5.0,0.95288,1,1,0.013686872087419033
125,0,-5.0621,0.9525,1,7,0.007881849072873592
126,0,-5.0,0.95212,1,1,0.005787106696516275
127,0,-5.0101,0.95174,1,2,0.006063065957278013
128,0,-5.0101,0.95136,1,2,0.005012150853872299
129,0,-5.0515,0.95098,1,6,0.07419635355472565
130,0,-5.0203,0.9506,1,3,0.007029787637293339
131,0,-5.0515,0.95022,1,6,0.006428570486605167
132,0,-5.0203,0.94984,1,3,0.00597843062132597
133,0,-5.0203,0.94946,1,3,0.005039061885327101
134,0,-5.0,0.94908,1,1,0.007627908140420914
135,0,-5.0945,0.9487,1,10,0.0030555424746125937
136,0,-5.0,0.94832,1,1,0.007564017083495855
137,0,-5.0,0.94794,1,1,0.003693565260618925
138,0,-5.1971,0.94756,1,19,0.002531117992475629
139,0,-5.0,0.94718,1,1,0.010241521522402763
140,0,-5.041,0.9468,1,5,0.0050477334298193455
141,0,-5.0,0.94642,1,1,0.01867433823645115
142,1,-4.5407,0.94604,1,6,0.0043759155087172985
143,0,-5.0,0.94566,1,1,0.007026339881122112
144,0,-5.041,0.94528,1,5,0.054616380482912064
145,0,-5.0,0.9449,1,1,0.007761245593428612
146,0,-5.3465,0.94452,1,31,0.004978884942829609
147,0,-5.1166,0.94414,1,12,0.008044382557272911
148,0,-5.0101,0.94376,1,2,0.005907881539314985
149,0,-5.0203,0.94338,1,3,0.006661012303084135
150,0,-5.041,0.9430000000000001,1,5,0.0030828702729195356
151,0,-5.0306,0.94262,1,4,0.004424694925546646
152,0,-5.209,0.94224,1,20,0.003576955059543252
153,0,-5.0,0.94186,1,1,0.044807836413383484
154,0,-5.1505,0.94148,1,15,0.005752576515078545
155,0,-5.041,0.9411,1,5,0.004336235113441944
156,0,-5.0,0.94072,1,1,0.0034993989393115044
157,0,-5.0,0.94034,1,1,0.031847819685935974
158,0,-5.162,0.93996,1,16,0.012733805924654007
159,0,-5.2576,0.93958,1,24,0.004579546395689249
160,0,-5.0203,0.9392,1,3,0.00855314638465643
161,0,-5.0101,0.93882,1,2,0.010079079307615757
162,0,-5.0,0.93844,1,1,0.0032523549161851406
163,0,-5.1166,0.93806,1,12,0.0034469617530703545
164,1,-4.5925,0.93768,1,11,0.006031043827533722
165,0,-5.0,0.9373,1,1,0.004785567056387663
166,0,-5.0836,0.93692,1,9,0.007353993132710457
167,0,-5.0203,0.93654,1,3,0.009977166540920734
168,0,-5.0728,0.93616,1,8,0.005550160072743893
169,0,-5.0,0.9357800000000001,1,1,0.005029405001550913
170,0,-5.0,0.9354,1,1,0.0076283058151602745
171,0,-5.0306,0.93502,1,4,0.003894234076142311
172,0,-5.0,0.93464,1,1,0.01691223680973053
173,0,-5.0,0.93426,1,1,0.0032337047159671783
174,0,-5.0,0.93388,1,1,0.007273727562278509
175,0,-5.0,0.9335,1,1,0.007818220183253288
176,0,-5.0,0.93312,1,1,0.003499265294522047
177,0,-5.0728,0.93274,1,8,0.009071756154298782
178,0,-5.0945,0.93236,1,10,0.006023895926773548
179,0,-5.1971,0.93198,1,19,0.0048618679866194725
180,0,-5.0,0.9316,1,1,0.03391888737678528
181,0,-5.0,0.9312199999999999,1,1,0.005278599914163351
182,1,-4.5716,0.93084,1,9,0.004903332330286503
183,0,-5.0945,0.93046,1,10,0.003100085072219372
184,0,-5.0,0.93008,1,1,0.0041044726967811584
185,0,-5.0,0.9297,1,1,0.004063175991177559
186,0,-5.041,0.92932,1,5,0.002620115876197815
187,0,-5.0,0.92894,1,1,0.0024551344104111195
188,0,-5.0101,0.92856,1,2,0.008863016031682491
189,0,-5.0,0.92818,1,1,0.0035327449440956116
190,0,-5.0836,0.9278,1,9,0.0039253537543118
191,0,-5.0515,0.92742,1,6,0.0038274950347840786
192,0,-5.0203,0.92704,1,3,0.005155250895768404
193,0,-5.0203,0.92666,1,3,0.0037032379768788815
194,0,-5.0306,0.92628,1,4,0.00579136423766613
195,0,-5.0203,0.9259,1,3,0.005251034628599882
196,0,-5.1505,0.92552,1,15,0.004910807125270367
197,0,-5.0,0.92514,1,1,0.004070545081049204
198,1,-4.5100999999999996,0.92476,1,3,0.0038367127999663353
199,0,-5.041,0.92438,1,5,0.021337060257792473
200,0,-5.0101,0.924,1,2,0.01698930375277996
201,0,-5.0,0.92362,1,1,0.0434882827103138
202,0,-5.0945,0.9232400000000001,1,10,0.00633762264624238
203,0,-5.0203,0.92286,1,3,0.0022671339102089405
204,1,-4.541,0.92248,1,6,0.0037763393484055996
205,0,-5.0945,0.9221,1,10,0.006213086657226086
206,0,-5.1278,0.92172,1,13,0.008892983198165894
207,0,-5.0,0.92134,1,1,0.00806544441729784
208,0,-5.041,0.92096,1,5,0.036456719040870667
209,0,-5.162,0.92058,1,16,0.004587814211845398
210,0,-5.1055,0.9202,1,11,0.02193501964211464
211,0,-5.0203,0.91982,1,3,0.007991118356585503
212,0,-5.041,0.91944,1,5,0.004147657193243504
213,0,-5.0728,0.91906,1,8,0.005330548621714115
214,0,-5.0,0.91868,1,1,0.005666738376021385
215,0,-5.0203,0.9183,1,3,0.005327948369085789
216,0,-5.0,0.91792,1,1,0.006314529106020927
217,0,-5.1736,0.91754,1,17,0.009424174204468727
218,0,-5.0101,0.91716,1,2,0.02100006304681301
219,0,-5.041,0.91678,1,5,0.01733982190489769
220,0,-5.0,0.9164,1,1,0.004710931796580553
221,0,-5.0728,0.9160200000000001,1,8,0.009829393588006496
222,0,-5.0,0.91564,1,1,0.013039631769061089
223,0,-5.0,0.91526,1,1,0.005865789018571377
224,0,-5.0,0.91488,1,1,0.012522153556346893
225,1,-4.7516,0.9145,1,25,0.005472172051668167
226,0,-5.0,0.91412,1,1,0.009412587620317936
227,0,-5.0306,0.91374,1,4,0.0055483253672719
228,0,-5.0836,0.91336,1,9,0.005756329745054245
229,0,-5.0,0.91298,1,1,0.004458202980458736
230,0,-5.0101,0.9126,1,2,0.004858244210481644
231,0,-5.0203,0.91222,1,3,0.004948058165609837
232,0,-5.0728,0.91184,1,8,0.006062217988073826
233,0,-5.0728,0.9114599999999999,1,8,0.003053538501262665
234,0,-5.0,0.91108,1,1,0.004777131136506796
235,0,-5.0,0.9107000000000001,1,1,0.003481759224087
