game,score,steps,duration_sec,reason
249,0,640,5.519,hunger
250,0,640,5.429,hunger
251,0,640,5.512,hunger
252,0,640,5.381,hunger
253,0,640,5.388,hunger
254,1,701,5.914,hunger
255,1,746,6.246,hunger
256,0,640,5.371,hunger
257,0,640,5.377,hunger
258,1,653,5.473,hunger
259,4,788,6.6,hunger
260,1,687,5.783,hunger
261,0,640,5.357,hunger
262,1,649,5.425,hunger
263,0,640,5.394,hunger
264,0,640,5.36,hunger
265,3,672,5.653,hunger
266,0,30,0.249,wall
267,0,118,0.987,wall
268,0,625,5.225,wall
269,0,640,5.408,hunger
270,66,4275,36.169,self
271,0,640,5.408,hunger
272,0,640,5.34,hunger
273,0,640,5.395,hunger
274,2,725,6.166,hunger
275,1,747,6.321,hunger
276,2,780,6.96,hunger
277,0,640,5.503,hunger
278,0,640,5.388,hunger
279,1,644,5.433,hunger
280,1,666,5.631,hunger
281,1,682,5.764,hunger
282,0,640,5.36,hunger
283,0,640,5.422,hunger
284,0,640,5.42,hunger
285,1,673,5.666,hunger
286,0,640,5.374,hunger
287,0,640,5.418,hunger
288,0,640,5.418,hunger
289,0,640,5.477,hunger
290,2,732,6.281,hunger
291,0,640,5.746,hunger
292,1,668,5.875,hunger
293,0,640,5.529,hunger
294,0,640,5.475,hunger
295,1,673,5.835,hunger
296,1,710,6.03,hunger
297,1,669,5.684,hunger
298,1,823,7.214,hunger
299,2,709,6.026,hunger
300,0,640,5.504,hunger
301,0,18,0.147,wall
302,4,1046,8.928,hunger
303,2,704,5.999,hunger
304,1,683,5.836,hunger
305,0,640,5.438,hunger
306,0,640,5.608,hunger
307,0,640,5.578,hunger
308,0,640,5.432,hunger
309,52,3313,28.226,self
310,1,681,5.783,hunger
311,0,640,5.417,hunger
312,0,640,5.44,hunger
313,0,640,5.467,hunger
314,0,640,5.418,hunger
315,1,657,5.594,hunger
316,0,640,5.448,hunger
317,5,875,7.496,hunger
318,2,665,5.673,hunger
319,0,640,5.636,hunger
320,1,713,6.096,hunger
321,1,702,5.968,hunger
322,1,670,5.724,hunger
323,1,692,5.89,hunger
324,11,1391,11.957,hunger
325,0,640,5.479,hunger
326,0,640,5.431,hunger
327,1,704,5.997,hunger
328,1,672,5.72,hunger
329,0,640,5.448,hunger
330,0,620,5.262,wall
331,0,640,5.448,hunger
332,0,640,5.483,hunger
333,0,640,6.189,hunger
334,1,676,6.311,hunger
335,0,640,5.331,hunger
336,7,1922,18.515,hunger
337,0,640,5.512,hunger
338,0,45,0.372,wall
339,0,640,5.321,hunger
340,1,658,5.636,hunger
341,0,640,6.669,hunger
342,1,686,5.999,hunger
343,0,640,5.606,hunger
344,2,905,7.933,hunger
345,0,640,5.335,hunger
346,1,689,5.717,hunger
347,0,640,5.33,hunger
348,1,693,5.742,hunger
349,0,640,5.322,hunger
350,1,673,5.591,hunger
351,4,832,6.956,hunger
352,5,1382,11.489,hunger
353,0,4,0.031,wall
354,0,8,0.066,wall
355,1,667,5.559,hunger
356,31,2770,28.335,hunger
357,0,640,5.316,hunger
358,1,649,5.481,hunger
359,0,640,5.884,hunger
360,1,666,5.625,hunger
361,0,640,5.359,hunger
362,1,792,6.599,hunger
363,0,640,5.55,hunger
364,0,640,5.39,hunger
365,1,652,5.53,hunger
366,0,640,5.339,hunger
367,0,640,5.326,hunger
368,0,640,5.348,hunger
369,0,22,0.181,wall
370,1,731,6.339,hunger
371,0,640,5.319,hunger
372,0,640,5.781,hunger
373,0,640,5.347,hunger
374,1,1121,9.382,hunger
375,0,640,5.368,hunger
376,1,671,5.586,hunger
377,1,665,5.51,hunger
378,70,3692,30.814,self
379,2,857,7.181,hunger
380,2,782,6.541,hunger
381,0,640,5.324,hunger
382,16,1463,12.14,self
383,0,640,5.319,hunger
384,0,640,5.33,hunger
385,0,640,5.37,hunger
386,0,640,5.333,hunger
387,0,640,5.34,hunger
388,1,692,5.757,hunger
389,0,640,5.327,hunger
390,0,640,5.313,hunger
391,2,687,5.713,hunger
392,0,640,5.324,hunger
393,0,640,5.335,hunger
394,0,640,5.326,hunger
395,0,640,5.302,hunger
396,0,640,5.358,hunger
397,1,713,5.951,hunger
398,6,1107,9.249,hunger
399,1,648,5.403,hunger
400,4,736,6.163,hunger
401,3,1011,8.456,hunger
402,1,772,6.586,hunger
403,0,640,5.434,hunger
404,0,640,5.456,hunger
405,1,679,5.834,hunger
406,0,640,5.461,hunger
407,0,640,5.441,hunger
408,1,676,5.767,hunger
409,1,675,5.724,hunger
410,1,646,5.622,hunger
411,1,656,5.63,hunger
412,0,640,5.583,hunger
413,1,641,5.452,hunger
414,0,640,5.465,hunger
415,4,1136,9.644,hunger
416,1,678,5.759,hunger
417,0,640,5.442,hunger
418,0,640,5.429,hunger
419,0,640,5.438,hunger
420,0,640,5.443,hunger
421,0,640,5.44,hunger
422,0,640,5.438,hunger
423,0,640,5.434,hunger
424,0,640,5.434,hunger
425,0,640,5.412,hunger
426,0,640,5.436,hunger
427,64,4737,40.654,self
428,2,670,6.292,hunger
429,0,640,5.464,hunger
430,0,640,5.406,hunger
431,0,640,5.439,hunger
432,5,958,8.142,hunger
433,0,589,5.012,wall
434,0,640,5.433,hunger
435,0,640,5.431,hunger
436,1,695,5.932,hunger
437,0,640,5.445,hunger
438,0,640,5.437,hunger
439,1,862,7.327,hunger
440,0,640,5.495,hunger
441,0,640,5.398,hunger
442,0,640,5.427,hunger
443,0,37,0.318,wall
444,0,640,5.433,hunger
445,0,640,5.442,hunger
446,0,640,5.472,hunger
447,1,713,6.058,hunger
448,61,5029,42.677,self
449,0,640,5.559,hunger
450,0,640,5.47,hunger
451,0,640,5.427,hunger
452,0,640,5.499,hunger
453,0,3,0.025,wall
454,0,640,5.426,hunger
455,0,640,5.424,hunger
456,60,4992,42.271,self
457,0,640,5.458,hunger
458,0,640,5.456,hunger
459,5,1281,10.869,hunger
460,0,640,5.46,hunger
461,1,682,5.781,hunger
462,0,640,5.413,hunger
463,0,640,5.506,hunger
464,5,1190,10.227,hunger
465,0,640,5.439,hunger
466,0,640,5.452,hunger
467,1,807,6.924,hunger
468,0,640,5.441,hunger
469,3,1052,8.932,hunger
470,0,640,5.437,hunger
471,1,836,7.105,hunger
472,0,640,5.461,hunger
473,0,640,5.433,hunger
474,0,640,5.439,hunger
475,0,640,5.471,hunger
476,0,524,4.463,wall
477,16,1961,16.666,hunger
478,1,714,6.069,hunger
479,0,640,5.434,hunger
480,0,640,5.449,hunger
481,0,640,5.444,hunger
482,0,640,5.444,hunger
483,2,801,6.808,hunger
484,52,3257,27.586,self
485,0,640,5.442,hunger
486,1,665,5.637,hunger
487,1,649,5.509,hunger
488,0,640,5.447,hunger
489,0,640,5.438,hunger
490,0,640,5.425,hunger
491,0,39,0.323,wall
492,0,640,5.458,hunger
493,0,640,5.432,hunger
494,1,685,5.829,hunger
495,1,735,6.253,hunger
496,0,640,5.667,hunger
497,0,640,5.567,hunger
498,0,640,5.43,hunger
499,2,903,7.842,hunger
500,0,640,5.43,hunger
501,0,640,5.441,hunger
502,0,640,5.709,hunger
503,1,821,7.223,hunger
504,0,640,5.63,hunger
505,1,754,6.408,hunger
506,0,640,5.46,hunger
507,0,640,5.424,hunger
508,0,32,0.27,wall
509,1,722,6.204,hunger
510,1,720,6.101,hunger
511,0,640,5.432,hunger
512,1,832,7.105,hunger
513,0,640,5.442,hunger
514,1,672,5.736,hunger
515,0,640,5.456,hunger
516,10,1511,12.794,hunger
517,0,640,5.799,hunger
518,1,682,5.855,hunger
519,0,640,5.434,hunger
520,0,640,5.445,hunger
521,0,640,5.439,hunger
522,0,640,5.423,hunger
523,0,640,5.436,hunger
524,0,640,5.424,hunger
525,0,640,5.443,hunger
526,0,1,0.007,wall
527,4,938,8.298,hunger
528,0,640,5.51,hunger
529,1,691,5.889,hunger
530,0,640,5.437,hunger
531,0,640,5.462,hunger
532,11,1902,16.144,hunger
533,0,85,0.716,wall
534,0,640,5.427,hunger
535,1,655,5.575,hunger
536,0,640,5.422,hunger
537,0,640,5.516,hunger
538,0,640,5.431,hunger
539,0,640,5.431,hunger
540,0,640,5.44,hunger
541,1,682,5.792,hunger
542,1,679,5.844,hunger
543,0,640,5.464,hunger
544,1,745,6.457,hunger
545,1,847,7.18,hunger
546,0,640,5.439,hunger
547,0,640,5.493,hunger
548,6,1423,12.151,hunger
549,5,1359,11.65,hunger
550,4,996,8.557,hunger
551,3,773,6.59,hunger
552,0,640,5.483,hunger
553,0,640,5.439,hunger
554,21,794,6.839,self
555,1,659,5.648,hunger
556,0,640,5.515,hunger
557,0,640,5.518,hunger
558,0,640,5.445,hunger
559,0,640,5.544,hunger
560,0,640,5.527,hunger
561,0,640,5.484,hunger
562,3,788,6.742,hunger
563,1,646,5.499,hunger
564,1,963,8.217,hunger
565,0,640,5.555,hunger
566,1,770,6.564,hunger
567,0,640,5.584,hunger
568,0,640,5.631,hunger
569,0,640,5.483,hunger
570,0,640,5.49,hunger
571,1,667,5.7,hunger
572,1,689,5.871,hunger
573,0,640,5.476,hunger
574,1,688,5.856,hunger
575,1,837,7.153,hunger
576,0,640,5.474,hunger
577,3,963,8.169,hunger
578,0,640,5.829,hunger
579,22,2464,20.954,hunger
580,0,640,5.439,hunger
581,0,640,5.463,hunger
582,1,649,5.545,hunger
583,0,640,5.436,hunger
584,0,640,5.435,hunger
585,0,640,5.412,hunger
586,0,640,5.462,hunger
587,1,682,5.803,hunger
588,0,640,5.496,hunger
589,0,640,5.536,hunger
590,0,640,5.574,hunger
591,1,668,5.679,hunger
592,0,84,0.712,wall
593,0,640,5.461,hunger
594,1,722,6.41,hunger
595,3,800,6.782,hunger
596,40,2393,20.41,self
597,0,640,5.442,hunger
598,12,1599,13.648,hunger
599,0,640,5.436,hunger
600,0,640,5.472,hunger
601,1,769,6.595,hunger
602,4,963,8.226,hunger
603,37,2026,17.473,self
604,0,24,0.201,wall
605,0,640,5.475,hunger
606,0,640,5.628,hunger
607,0,640,5.464,hunger
608,1,700,5.976,hunger
609,1,827,7.146,hunger
610,0,640,5.453,hunger
611,0,640,5.468,hunger
612,1,642,5.465,hunger
613,0,640,5.554,hunger
614,1,672,5.87,hunger
615,0,640,5.452,hunger
616,1,676,5.758,hunger
617,1,713,6.077,hunger
618,2,1101,9.435,hunger
619,1,715,6.105,hunger
620,0,640,5.444,hunger
621,1,767,6.493,hunger
622,2,702,5.971,hunger
623,0,640,5.449,hunger
624,0,640,5.47,hunger
625,0,640,5.44,hunger
626,1,678,5.755,hunger
627,1,851,7.249,hunger
628,3,1394,11.864,hunger
629,1,689,5.848,hunger
630,0,640,5.452,hunger
631,0,640,5.448,hunger
632,0,640,5.433,hunger
633,1,711,6.327,hunger
634,1,671,5.704,hunger
635,1,778,6.624,hunger
636,0,640,5.467,hunger
637,0,640,5.451,hunger
638,0,640,5.665,hunger
639,0,640,5.431,hunger
640,1,642,5.449,hunger
641,4,1001,8.526,hunger
642,0,640,5.47,hunger
643,0,640,5.469,hunger
644,0,640,5.464,hunger
645,1,642,5.456,hunger
646,0,640,5.499,hunger
647,0,640,5.437,hunger
648,0,640,5.48,hunger
649,1,698,5.928,hunger
650,8,1388,12.777,hunger
651,2,716,6.852,hunger
652,1,754,8.7,hunger
653,3,1104,11.114,hunger
654,0,640,5.856,hunger
655,1,701,6.297,hunger
656,0,640,5.819,hunger
657,0,640,5.852,hunger
658,1,648,5.92,hunger
659,0,640,5.891,hunger
660,1,725,6.649,hunger
661,9,1958,18.1,hunger
662,0,640,5.773,hunger
663,0,640,5.818,hunger
664,1,682,6.33,hunger
665,1,666,6.216,hunger
666,5,1288,11.875,hunger
667,30,2478,22.656,hunger
668,1,652,6.288,hunger
669,0,640,5.619,hunger
670,0,640,5.539,hunger
671,0,47,0.405,wall
672,1,954,8.186,hunger
673,0,640,5.826,hunger
674,0,640,5.556,hunger
675,5,1087,9.324,hunger
676,0,640,5.506,hunger
677,0,640,5.53,hunger
678,0,640,5.443,hunger
679,1,646,5.527,hunger
680,0,640,5.491,hunger
681,4,788,6.748,hunger
682,1,759,6.473,hunger
683,1,676,5.751,hunger
684,0,640,5.481,hunger
685,1,655,5.597,hunger
686,1,680,5.822,hunger
687,0,640,5.494,hunger
688,0,640,5.457,hunger
689,0,19,0.161,wall
690,1,738,6.645,hunger
691,0,640,5.451,hunger
692,0,640,5.434,hunger
693,0,640,5.463,hunger
694,0,25,0.209,wall
695,0,630,5.361,wall
696,0,640,6.129,hunger
697,0,640,5.663,hunger
698,0,640,5.518,hunger
699,1,719,6.151,hunger
700,0,640,5.525,hunger
701,0,640,5.452,hunger
