episode,score,return,epsilon,best_score,steps,loss
1,0,-1.0,0.99962,0,1,
2,0,-1.0101,0.99924,0,2,
3,0,-1.0,0.99886,0,1,
4,0,-1.0621,0.99848,0,7,
5,0,-1.0,0.9981,0,1,
6,0,-1.0836000000000001,0.99772,0,9,
7,0,-1.0,0.99734,0,1,
8,0,-1.0306,0.99696,0,4,
9,0,-1.0515,0.99658,0,6,
10,0,-1.0101,0.9962,0,2,
11,0,-1.0101,0.99582,0,2,
12,0,-1.209,0.99544,0,20,
13,0,-1.0,0.9950600000000001,0,1,
14,0,-1.041,0.99468,0,5,
15,0,-1.0203,0.9943,0,3,0.08643355965614319
16,0,-1.0,0.99392,0,1,0.07401206344366074
17,0,-1.0203,0.99354,0,3,0.03824760764837265
18,0,-1.1971,0.99316,0,19,0.002106097061187029
19,0,-1.0101,0.99278,0,2,0.0017507446464151144
20,0,-1.0101,0.9924,0,2,0.0011417160276323557
21,0,-1.0101,0.99202,0,2,0.0014918921515345573
22,0,-1.0515,0.99164,0,6,0.002553329337388277
23,0,-1.0203,0.99126,0,3,0.0017395800678059459
24,0,-1.0621,0.99088,0,7,0.0007389294332824647
25,0,-1.0,0.9905,0,1,0.001043661031872034
26,0,-1.0,0.99012,0,1,0.0012229487765580416
27,0,-1.0,0.98974,0,1,0.0009372074855491519
28,0,-1.0101,0.98936,0,2,0.0011874075280502439
29,0,-1.0621,0.98898,0,7,0.0021382600534707308
30,0,-1.0,0.9886,0,1,0.0003491656098049134
31,0,-1.0728,0.98822,0,8,0.0007060146890580654
32,0,-1.1391,0.98784,0,14,0.0003072150575462729
33,0,-1.1853,0.98746,0,18,0.0005472624325193465
34,0,-1.0101,0.98708,0,2,0.0003061763127334416
35,0,-1.0306,0.9867,0,4,0.00022427737712860107
36,0,-1.0,0.98632,0,1,0.006295311730355024
37,0,-1.0203,0.98594,0,3,0.00025272867060266435
38,0,-1.0101,0.98556,0,2,0.008818401023745537
39,0,-1.0515,0.9851800000000001,0,6,0.003947383724153042
40,0,-1.041,0.9848,0,5,0.0014863398391753435
41,0,-1.0101,0.98442,0,2,0.003246910637244582
42,0,-1.0,0.98404,0,1,0.0007114032632671297
43,1,-0.020299999999999985,0.98366,1,4,0.0018854306545108557
44,0,-1.0,0.98328,1,1,0.0012422471772879362
45,0,-1.0203,0.9829,1,3,0.007148760370910168
46,0,-1.0515,0.98252,1,6,0.00514663802459836
47,0,-1.0,0.98214,1,1,0.004963102284818888
48,0,-1.0203,0.98176,1,3,0.0010775942355394363
49,0,-1.0621,0.98138,1,7,0.00155409867875278
50,0,-1.0,0.981,1,1,0.0011718585155904293
51,0,-1.0101,0.98062,1,2,0.0007952752057462931
52,0,-1.0621,0.98024,1,7,0.0011976644163951278
53,0,-1.0203,0.97986,1,3,0.0010101025691255927
54,0,-1.0,0.97948,1,1,0.00040158763295039535
55,0,-1.0101,0.9791,1,2,0.0006924280896782875
56,0,-1.0,0.97872,1,1,0.0005389621946960688
57,0,-1.041,0.97834,1,5,0.0003670085861813277
