game,score,steps,duration_sec,reason
1,19,420,3.963,self
2,23,577,5.685,self
3,13,250,2.077,self
4,23,629,5.676,self
5,15,255,2.263,self
6,19,386,3.363,self
7,25,527,4.567,self
8,22,611,5.278,self
9,40,1033,8.928,self
10,0,640,5.524,hunger
11,45,994,8.561,self
12,3,92,0.802,self
13,10,827,7.086,hunger
14,22,681,5.896,self
15,23,457,3.949,self
16,15,891,7.74,self
17,13,255,2.202,self
18,29,760,6.598,self
19,18,357,3.1,self
20,29,641,5.575,self
21,23,803,6.985,self
22,29,754,6.528,self
23,32,724,6.266,self
24,31,798,6.93,self
25,24,652,5.648,self
26,21,495,4.295,self
27,13,508,4.403,self
28,7,127,1.091,self
29,17,562,4.874,self
30,31,672,5.819,self
31,24,609,5.28,self
32,9,249,2.143,self
33,18,748,6.475,self
34,14,296,2.564,wall
35,3,53,0.46,self
36,31,745,6.48,self
37,20,408,3.538,self
38,24,486,4.219,self
39,15,348,3.028,self
40,19,866,7.549,self
41,31,944,8.166,self
42,23,451,3.908,self
43,25,726,6.298,self
44,23,737,6.403,self
45,19,345,2.992,self
46,15,287,2.502,self
47,0,640,5.574,hunger
48,30,646,5.584,self
49,23,451,3.921,self
50,17,379,3.295,self
51,30,1622,14.091,self
52,3,51,0.434,self
53,29,649,5.626,self
54,17,648,5.626,self
55,22,669,5.809,self
56,24,548,4.72,self
57,22,432,3.735,self
58,19,881,7.659,self
59,33,1083,9.406,self
60,1,15,0.125,self
61,9,169,1.455,self
62,0,640,5.563,hunger
63,20,431,3.734,self
64,0,640,5.553,hunger
65,18,560,4.868,self
66,8,223,1.927,self
67,0,640,5.552,hunger
68,30,1288,11.195,self
69,5,554,4.801,self
70,28,562,4.861,self
71,1,52,0.445,self
72,27,870,7.54,self
73,35,716,6.186,self
74,3,117,1.015,self
75,1,30,0.258,self
76,17,386,3.344,self
77,29,714,6.598,self
78,38,811,7.474,self
79,23,623,5.724,self
80,32,1070,9.894,self
81,30,817,7.552,self
82,1,23,0.207,self
83,33,713,6.579,self
84,3,80,0.74,self
85,24,643,5.943,wall
86,32,1027,9.444,self
87,24,570,5.27,self
88,27,793,7.302,self
89,3,54,0.491,self
90,33,814,7.532,self
91,26,501,4.61,self
92,3,47,0.424,self
93,3,137,1.265,self
94,3,70,0.641,self
95,15,299,2.749,self
96,13,860,7.911,hunger
97,3,124,1.142,self
98,25,692,6.392,self
99,19,374,3.463,self
100,0,12,0.105,wall
101,9,198,1.815,self
102,21,499,4.607,self
103,27,1167,10.79,self
104,11,153,1.414,self
105,32,1253,11.588,self
106,27,585,5.404,self
107,21,463,4.26,self
108,35,859,7.923,self
109,22,475,4.368,self
110,21,463,4.301,self
111,0,640,5.922,hunger
