game,score,steps,duration_sec,reason
225,2,1824,15.411,hunger
226,0,640,5.48,hunger
227,0,640,5.456,hunger
228,0,640,5.456,hunger
229,0,640,5.565,hunger
230,0,640,5.457,hunger
231,1,661,5.66,hunger
232,0,640,5.381,hunger
233,0,640,5.419,hunger
234,0,640,5.426,hunger
235,0,640,5.354,hunger
236,1,1248,10.511,hunger
237,0,640,5.353,hunger
238,4,1251,10.473,hunger
239,0,640,5.36,hunger
240,1,920,7.708,hunger
241,0,640,5.373,hunger
242,5,1562,13.094,hunger
243,0,640,5.362,hunger
244,0,640,5.463,hunger
245,0,640,5.377,hunger
246,0,640,5.38,hunger
247,0,640,5.387,hunger
248,0,640,5.348,hunger
249,0,640,5.671,hunger
250,0,640,5.34,hunger
251,0,640,5.354,hunger
252,0,640,5.364,hunger
253,2,775,6.535,hunger
254,0,640,5.371,hunger
255,0,640,5.523,hunger
256,0,640,5.407,hunger
257,0,640,5.787,hunger
258,12,2671,22.581,hunger
259,0,640,5.408,hunger
260,0,640,5.39,hunger
261,0,640,5.407,hunger
262,0,640,5.426,hunger
263,1,646,5.446,hunger
264,22,3264,27.754,self
265,19,1822,16.033,self
266,0,640,5.606,hunger
267,1,659,5.657,hunger
268,31,4296,36.864,self
269,1,661,5.641,hunger
270,0,640,5.473,hunger
271,0,640,5.447,hunger
272,2,923,7.973,hunger
273,0,640,5.585,hunger
274,4,1806,15.412,hunger
275,0,640,5.533,hunger
276,0,640,5.464,hunger
277,1,1090,9.327,hunger
278,5,1110,9.443,hunger
279,0,640,5.466,hunger
280,0,640,5.429,hunger
281,0,640,5.459,hunger
282,0,640,5.422,hunger
283,1,1068,9.112,hunger
284,0,640,5.504,hunger
285,0,640,5.456,hunger
286,0,640,5.599,hunger
287,0,640,5.505,hunger
288,0,640,5.487,hunger
289,3,697,5.946,hunger
290,0,640,5.479,hunger
291,0,640,5.47,hunger
292,0,640,5.454,hunger
293,39,3910,33.333,self
294,0,640,5.432,hunger
295,0,640,5.44,hunger
296,0,640,5.475,hunger
297,1,649,6.749,hunger
298,2,669,6.051,hunger
299,0,640,5.32,hunger
300,0,640,5.318,hunger
301,0,640,6.342,hunger
302,0,640,6.995,hunger
303,6,1391,11.684,hunger
304,0,640,5.464,hunger
305,0,640,6.83,hunger
306,0,640,5.504,hunger
307,0,640,5.605,hunger
308,0,640,5.611,hunger
309,0,640,5.34,hunger
310,0,640,5.34,hunger
311,4,1042,8.673,hunger
312,0,640,5.321,hunger
313,0,640,5.315,hunger
314,0,640,5.322,hunger
315,0,640,5.364,hunger
316,0,640,5.346,hunger
317,1,673,5.591,hunger
318,0,640,5.324,hunger
319,0,640,5.394,hunger
320,0,640,7.946,hunger
321,1,1217,12.377,hunger
322,0,640,5.338,hunger
323,0,640,5.34,hunger
324,0,640,5.409,hunger
325,3,731,6.699,hunger
326,0,640,5.344,hunger
327,1,651,5.428,hunger
328,0,640,5.345,hunger
329,0,640,5.649,hunger
330,2,670,5.576,hunger
331,0,640,5.394,hunger
332,0,640,5.312,hunger
333,0,640,5.338,hunger
334,0,640,5.359,hunger
