game,score,steps,duration_sec,reason
1931,36,611,5.579,self
1932,35,643,5.926,wall
1933,32,528,4.9,self
1934,22,321,2.974,self
1935,58,961,8.828,self
1936,34,672,6.09,self
1937,16,235,2.17,self
1938,29,477,4.416,self
1939,51,940,8.69,self
1940,64,1240,11.351,self
1941,43,651,5.936,self
1942,38,566,5.143,self
1943,18,246,2.248,self
1944,47,816,7.48,wall
1945,77,1355,12.379,wall
1946,45,815,7.478,self
1947,24,360,3.335,wall
1948,38,634,5.803,self
1949,24,378,3.46,self
1950,31,508,4.695,wall
1951,25,415,3.802,self
1952,32,513,4.685,self
1953,26,375,3.438,wall
1954,33,592,5.406,self
1955,56,1015,9.278,self
1956,31,516,4.69,self
1957,15,237,2.131,self
1958,49,851,7.641,self
1959,0,640,5.836,hunger
1960,28,465,4.268,self
1961,49,981,8.916,self
1962,17,248,2.246,self
1963,27,433,3.923,self
1964,21,432,3.926,self
1965,57,1061,9.582,self
1966,59,1103,9.808,self
1967,39,781,7.064,self
1968,13,252,2.285,wall
1969,24,487,4.449,self
1970,54,959,8.561,self
1971,43,799,7.202,self
1972,24,449,4.062,self
1973,32,598,5.433,self
1974,32,524,4.787,self
1975,58,954,8.699,self
1976,30,462,4.208,self
1977,54,1034,9.403,self
1978,35,576,5.3,self
1979,25,580,5.346,self
1980,30,708,6.426,self
1981,66,1309,11.848,self
1982,51,903,8.332,self
1983,53,914,8.394,self
1984,61,960,8.809,self
1985,33,627,5.73,self
1986,67,1479,13.551,self
1987,63,1372,12.439,self
1988,18,338,3.085,wall
1989,20,329,3.023,self
1990,22,320,2.903,self
1991,44,781,7.218,self
1992,39,639,5.811,self
1993,38,563,5.163,self
1994,52,1044,9.575,self
1995,20,307,2.816,self
1996,21,340,3.131,self
1997,28,506,4.619,self
1998,28,416,3.844,wall
1999,32,481,4.46,wall
2000,25,379,3.52,self
