game,score,steps,duration_sec,reason
1168,12,929,7.988,hunger
1169,6,723,6.236,hunger
1170,5,997,8.587,hunger
1171,10,859,7.402,hunger
1172,15,1097,9.496,hunger
1173,12,400,3.452,self
1174,2,669,5.814,hunger
1175,11,831,7.218,hunger
1176,26,662,5.833,self
1177,9,1462,13.066,hunger
1178,43,1215,10.782,self
1179,26,980,8.806,self
1180,0,640,5.765,hunger
1181,1,672,6.059,hunger
1182,40,1546,14.119,self
1183,14,1201,10.999,hunger
1184,8,1102,10.154,hunger
1185,8,1070,9.883,hunger
1186,25,812,7.469,self
1187,2,701,6.46,hunger
1188,4,749,6.896,hunger
1189,4,712,6.579,hunger
1190,40,1321,12.116,self
1191,50,1679,15.441,self
1192,35,751,6.947,self
1193,4,900,8.292,hunger
1194,1,681,6.088,hunger
1195,55,1987,18.155,self
1196,2,719,6.589,hunger
1197,15,872,7.809,self
1198,10,873,7.795,hunger
1199,2,678,6.238,hunger
1200,22,1082,9.972,self
1201,7,1052,9.632,hunger
1202,5,710,6.522,hunger
1203,23,522,4.734,self
1204,10,890,8.095,hunger
1205,11,583,5.314,self
1206,23,482,4.432,self
1207,9,782,7.055,hunger
1208,34,945,8.409,self
1209,1,675,6.089,hunger
1210,29,802,7.279,self
1211,2,673,6.117,hunger
1212,13,1098,9.959,hunger
1213,52,1657,15.153,self
1214,26,504,4.594,self
1215,15,1349,12.346,hunger
1216,2,667,6.106,hunger
1217,22,776,7.153,self
1218,5,1179,10.815,hunger
1219,5,972,8.856,hunger
1220,2,670,6.108,hunger
1221,7,733,6.7,hunger
1222,21,427,3.995,self
1223,5,968,8.932,hunger
1224,44,1540,14.057,self
1225,6,839,7.691,hunger
1226,5,708,6.481,hunger
1227,28,591,5.42,self
1228,1,663,5.929,hunger
1229,26,552,5.015,self
1230,9,950,8.773,hunger
1231,11,1254,11.612,hunger
1232,0,640,5.892,hunger
1233,0,640,5.742,hunger
1234,30,906,8.311,self
1235,14,1062,9.719,hunger
1236,7,827,7.577,hunger
1237,18,723,6.597,self
1238,3,693,6.328,hunger
1239,3,945,8.716,hunger
1240,14,994,9.128,hunger
1241,9,827,7.58,hunger
1242,1,678,6.189,hunger
1243,0,640,5.807,hunger
1244,45,1228,11.174,self
1245,8,896,8.218,hunger
1246,2,685,6.227,hunger
1247,7,722,6.527,hunger
1248,2,659,6.007,hunger
1249,11,960,8.745,hunger
1250,25,860,7.817,self
1251,50,1159,10.576,self
1252,7,952,8.705,hunger
1253,10,835,7.741,hunger
1254,64,2290,21.005,self
1255,2,674,6.195,hunger
1256,7,797,7.392,hunger
1257,56,1878,17.236,self
1258,11,862,7.949,hunger
1259,1,675,6.175,hunger
1260,9,331,3.011,self
1261,0,640,5.885,hunger
1262,15,1136,10.396,hunger
1263,35,823,7.612,self
1264,2,944,8.687,hunger
1265,14,1103,10.111,hunger
1266,10,441,3.897,self
1267,4,697,6.326,hunger
1268,25,677,6.152,self
1269,12,1148,10.425,hunger
1270,2,670,6.037,hunger
1271,4,737,6.761,hunger
1272,4,703,6.41,hunger
1273,1,657,5.999,hunger
1274,2,989,9.169,hunger
1275,3,920,8.435,hunger
1276,2,667,6.127,hunger
1277,11,905,8.319,hunger
1278,35,949,8.767,self
1279,35,750,6.824,self
1280,13,1554,14.368,hunger
1281,2,682,6.292,hunger
1282,7,1084,9.852,hunger
1283,1,658,5.917,hunger
1284,1,677,6.141,hunger
1285,6,826,7.59,hunger
1286,28,626,5.744,self
1287,4,1048,9.528,hunger
1288,9,1382,12.752,hunger
1289,50,1139,10.498,self
1290,12,857,7.894,hunger
1291,11,803,7.439,hunger
1292,28,1280,11.819,self
1293,6,754,6.907,hunger
1294,32,973,8.89,self
1295,5,949,8.783,hunger
1296,33,950,8.76,self
1297,1,657,6.005,hunger
1298,49,1762,16.121,self
1299,13,1881,17.217,hunger
1300,8,1022,9.423,hunger
1301,28,560,5.164,self
1302,6,756,6.944,hunger
1303,2,679,6.24,hunger
1304,73,2279,20.843,self
1305,3,684,6.218,hunger
1306,8,1058,9.46,hunger
1307,0,640,5.816,hunger
1308,56,1339,12.177,self
1309,67,1952,17.667,self
1310,27,1303,11.581,self
1311,12,515,4.573,self
1312,41,1499,13.647,self
1313,9,1174,10.418,hunger
1314,27,758,6.884,self
1315,9,1153,10.515,hunger
1316,17,734,6.675,self
1317,52,1394,12.69,self
1318,4,697,6.412,hunger
1319,37,963,8.828,self
1320,40,1201,10.907,self
1321,15,916,8.299,hunger
1322,19,976,9.054,self
1323,32,703,6.407,self
1324,1,766,7.055,hunger
1325,4,762,6.977,hunger
1326,47,1112,10.253,self
1327,16,459,4.177,self
1328,30,743,6.708,wall
1329,11,932,8.507,hunger
1330,48,1409,12.961,self
1331,20,590,5.417,self
1332,14,346,3.194,self
1333,11,200,1.846,wall
1334,2,669,6.201,hunger
1335,6,750,6.96,hunger
1336,1,667,6.095,hunger
1337,2,711,6.616,hunger
1338,23,843,7.81,self
1339,18,744,6.97,self
1340,1,681,6.384,hunger
1341,2,697,6.528,hunger
1342,1,917,8.606,hunger
1343,45,1446,13.585,self
1344,25,830,7.772,self
1345,2,678,6.346,hunger
1346,0,640,6.023,hunger
1347,79,2440,22.989,self
1348,13,757,7.104,self
1349,27,667,6.281,self
1350,1,670,6.276,hunger
1351,41,1330,12.518,wall
1352,50,1428,13.433,self
1353,15,1216,11.424,hunger
1354,10,777,7.307,hunger
1355,0,640,5.984,hunger
1356,4,692,6.509,hunger
1357,39,1069,10.037,self
1358,0,640,6.006,hunger
1359,4,716,6.729,hunger
1360,32,620,5.831,self
1361,29,585,5.527,self
1362,1,667,6.232,hunger
1363,5,714,6.708,hunger
1364,1,661,6.201,hunger
1365,11,834,7.854,hunger
1366,13,369,3.44,self
1367,9,1135,10.62,hunger
1368,13,1090,10.257,hunger
1369,0,640,5.998,hunger
1370,15,887,8.322,hunger
1371,46,1231,11.621,self
1372,0,640,6.017,hunger
1373,6,754,7.063,hunger
1374,1,673,6.315,hunger
1375,9,765,7.174,hunger
1376,2,719,6.764,hunger
1377,5,840,7.919,hunger
1378,3,714,6.721,hunger
1379,14,295,2.757,self
1380,0,640,5.986,hunger
1381,10,845,7.962,hunger
1382,5,719,6.745,hunger
1383,5,733,6.882,hunger
1384,9,784,7.355,hunger
1385,60,1532,14.463,self
1386,3,725,6.761,hunger
1387,1,658,6.184,hunger
1388,12,1126,10.59,hunger
1389,1,675,6.343,hunger
1390,9,1099,10.305,hunger
1391,1,665,6.251,hunger
1392,6,727,6.828,hunger
1393,6,727,6.819,hunger
1394,30,580,5.448,self
1395,1,660,6.174,hunger
1396,2,677,6.386,hunger
1397,12,964,9.043,self
1398,0,640,5.99,hunger
1399,12,1509,14.147,hunger
1400,18,1178,11.069,self
1401,7,1079,10.14,hunger
1402,1,664,6.254,hunger
1403,21,607,5.686,self
1404,28,1323,12.429,self
1405,11,670,6.317,self
1406,43,1195,11.255,self
1407,14,1103,10.342,hunger
1408,11,729,6.842,self
1409,31,1432,13.454,self
1410,0,640,5.956,hunger
1411,48,1320,12.359,self
1412,3,694,6.524,hunger
1413,5,781,7.355,hunger
1414,55,1787,16.844,self
1415,7,788,7.372,hunger
1416,1,661,6.183,hunger
1417,8,1114,10.485,hunger
1418,2,674,6.291,hunger
1419,15,1804,16.938,hunger
1420,10,659,6.127,wall
1421,8,929,8.723,hunger
1422,1,718,6.71,hunger
1423,26,563,5.258,self
1424,2,672,6.293,hunger
1425,30,1121,10.542,self
1426,2,673,6.305,hunger
1427,46,1577,14.802,wall
1428,15,1573,14.75,hunger
1429,8,821,7.711,hunger
1430,32,786,7.371,self
1431,18,1052,9.898,self
1432,14,1356,12.791,hunger
1433,0,640,6.012,hunger
1434,2,670,6.292,hunger
1435,8,796,7.485,hunger
1436,54,1332,12.576,self
1437,3,699,6.568,hunger
1438,9,175,1.63,self
1439,1,665,6.238,hunger
1440,52,1454,13.66,self
1441,30,640,6.006,self
1442,24,591,5.571,self
1443,2,666,6.242,hunger
1444,19,538,5.029,self
1445,2,679,6.374,hunger
1446,4,689,6.452,hunger
1447,5,1143,10.701,hunger
1448,3,1053,9.849,hunger
1449,63,2016,18.983,self
1450,1,857,8.005,hunger
1451,15,942,8.816,hunger
1452,4,727,6.83,hunger
1453,21,1157,10.845,self
1454,9,793,7.435,hunger
1455,1,779,7.313,hunger
1456,2,958,8.985,hunger
1457,36,1496,14.036,self
1458,12,1084,10.208,hunger
1459,3,747,7.021,hunger
1460,28,1185,11.158,self
1461,27,580,5.439,self
1462,14,921,8.658,hunger
1463,12,821,7.716,hunger
1464,9,1180,11.105,hunger
1465,2,700,6.557,hunger
1466,35,1050,9.874,self
1467,13,1290,12.122,hunger
1468,12,968,9.106,hunger
1469,2,678,6.383,hunger
1470,3,680,6.392,hunger
1471,25,896,8.415,self
1472,4,733,6.891,hunger
1473,9,842,7.914,hunger
1474,7,780,7.321,hunger
1475,2,676,6.346,hunger
1476,28,989,9.281,self
1477,13,1061,9.937,hunger
1478,15,533,5.01,self
1479,37,1007,9.47,self
1480,47,1783,16.856,self
1481,7,806,7.58,hunger
1482,33,1365,12.808,self
1483,0,640,6.015,hunger
1484,1,28,0.255,wall
1485,2,682,6.393,hunger
1486,8,1147,10.774,hunger
1487,10,1177,11.059,hunger
1488,3,695,6.483,hunger
1489,3,696,6.546,hunger
1490,5,748,7.022,hunger
1491,11,812,7.605,hunger
1492,4,719,6.748,hunger
1493,3,713,6.658,hunger
1494,13,899,8.478,hunger
1495,79,2983,28.108,self
1496,12,371,3.469,wall
1497,32,913,8.581,self
1498,22,541,5.096,self
1499,1,661,6.191,hunger
1500,6,757,7.104,hunger
1501,24,536,5.02,self
1502,62,2081,19.602,self
1503,67,1993,18.767,self
1504,4,731,6.861,hunger
1505,2,671,6.29,hunger
1506,4,699,6.571,hunger
1507,29,1063,9.993,self
1508,22,829,7.778,self
1509,1,662,6.17,hunger
1510,7,867,8.141,hunger
1511,17,737,6.933,self
1512,0,640,6.003,hunger
1513,7,1191,11.197,hunger
1514,8,1330,12.482,hunger
1515,35,1530,14.395,self
1516,35,1182,11.1,self
1517,3,771,7.203,hunger
1518,7,1012,9.479,hunger
1519,6,1064,9.936,hunger
1520,6,961,9.025,hunger
1521,24,625,5.874,self
1522,2,675,6.327,hunger
1523,6,857,8.053,hunger
1524,41,1169,11.018,self
1525,1,653,6.12,hunger
1526,31,1190,11.177,self
1527,5,734,6.858,hunger
1528,32,1093,10.304,self
1529,9,826,7.749,hunger
1530,15,434,4.067,self
1531,13,1020,9.608,hunger
1532,8,832,7.838,hunger
1533,15,1160,10.936,hunger
1534,2,672,6.318,hunger
1535,6,1339,12.575,hunger
1536,1,665,6.214,hunger
1537,32,1141,10.677,self
1538,20,1342,12.612,self
1539,9,797,7.484,hunger
1540,1,670,6.248,hunger
1541,1,670,6.294,hunger
1542,15,968,9.144,hunger
1543,3,683,6.384,hunger
1544,35,1009,9.509,self
1545,1,665,6.217,hunger
1546,46,1268,11.934,wall
1547,2,685,6.436,hunger
1548,9,1442,13.533,hunger
1549,6,741,6.948,hunger
1550,10,1399,13.155,hunger
1551,14,1186,11.112,hunger
1552,51,1599,15.057,self
1553,2,699,6.546,hunger
1554,14,251,2.341,self
1555,25,705,6.6,self
1556,4,739,6.887,hunger
1557,2,676,6.352,hunger
1558,5,743,6.977,hunger
1559,12,1024,9.571,self
1560,40,1280,12.025,self
1561,1,680,6.421,hunger
1562,1,718,6.745,hunger
1563,33,889,8.367,self
1564,7,790,7.42,hunger
1565,3,737,6.918,hunger
1566,2,694,6.493,hunger
1567,15,1210,11.387,hunger
1568,6,877,8.22,hunger
1569,4,734,6.907,hunger
1570,8,897,8.406,hunger
1571,2,684,6.4,hunger
1572,3,728,6.827,hunger
1573,1,672,6.334,hunger
1574,1,671,6.279,hunger
1575,14,906,8.543,hunger
1576,44,1128,10.66,wall
1577,3,692,6.494,hunger
1578,11,1322,12.433,hunger
1579,6,741,6.995,hunger
1580,40,1451,13.672,self
1581,2,676,6.339,hunger
1582,9,574,5.381,self
1583,7,1008,9.441,hunger
1584,49,1253,11.837,self
1585,15,1031,9.696,hunger
1586,3,709,6.668,hunger
1587,39,1130,10.633,self
1588,9,788,7.384,hunger
1589,6,830,7.803,hunger
1590,15,940,8.838,hunger
1591,0,640,6.001,hunger
1592,1,657,6.183,hunger
1593,12,1050,9.89,hunger
1594,5,709,6.665,hunger
1595,4,716,6.725,hunger
1596,7,860,8.087,hunger
1597,11,1026,9.65,hunger
1598,0,640,6.009,hunger
1599,6,766,7.154,hunger
1600,5,1209,11.331,hunger
1601,6,781,7.357,hunger
1602,2,899,8.451,hunger
1603,14,1364,12.819,hunger
1604,1,658,6.165,hunger
1605,14,1033,9.687,self
1606,3,687,6.468,hunger
1607,3,689,6.446,hunger
1608,4,1112,10.421,hunger
1609,1,667,6.237,hunger
1610,2,674,6.32,hunger
1611,39,1199,11.297,self
1612,33,691,6.514,self
1613,2,961,9.036,hunger
1614,25,646,6.018,self
1615,31,835,7.849,self
1616,1,677,6.357,hunger
1617,2,675,6.336,hunger
1618,14,986,9.246,hunger
1619,41,1051,9.898,self
1620,6,759,7.116,hunger
1621,6,1101,10.337,hunger
1622,14,717,6.698,self
1623,36,1050,9.906,self
1624,15,252,2.365,self
1625,41,949,8.915,self
1626,12,250,2.334,self
1627,8,782,7.336,hunger
1628,35,1119,10.499,self
1629,19,426,3.988,self
1630,63,1793,16.866,self
1631,12,442,4.145,self
1632,2,690,6.471,hunger
1633,10,1145,10.755,hunger
1634,26,1111,10.473,self
1635,5,746,7.025,hunger
1636,57,1532,14.422,self
1637,8,795,7.484,hunger
1638,25,1170,10.985,self
1639,8,855,8.032,hunger
1640,38,1606,15.147,self
1641,11,868,8.146,hunger
1642,2,669,6.281,hunger
1643,24,508,4.776,self
1644,15,558,5.272,self
1645,0,640,5.978,hunger
1646,7,1311,12.333,hunger
1647,19,378,3.546,self
1648,9,841,7.874,hunger
1649,26,636,5.97,self
1650,17,916,8.623,self
1651,10,1614,15.159,hunger
1652,4,986,9.232,hunger
1653,5,745,6.998,hunger
1654,52,1347,12.711,wall
1655,2,685,6.439,hunger
1656,9,866,8.137,hunger
1657,13,1215,11.423,hunger
1658,40,1356,12.762,self
1659,39,1179,11.147,self
1660,1,682,6.383,hunger
1661,1,673,6.318,hunger
1662,1,676,6.306,hunger
1663,56,1387,13.06,self
1664,31,688,6.46,self
1665,13,1284,12.058,hunger
1666,2,685,6.417,hunger
1667,42,1246,11.758,self
1668,4,897,8.412,hunger
1669,12,1497,14.094,hunger
1670,22,924,8.652,self
1671,2,856,8.013,hunger
1672,47,1137,10.701,self
1673,5,1106,10.37,hunger
1674,15,1173,11.012,hunger
1675,2,682,6.415,hunger
1676,1,779,7.312,hunger
1677,1,661,6.206,hunger
1678,35,1496,14.049,self
1679,53,1515,14.266,self
1680,11,250,2.345,self
1681,5,829,7.751,hunger
1682,1,682,6.429,hunger
1683,4,714,6.707,hunger
1684,14,1258,11.817,hunger
1685,2,677,6.368,hunger
1686,6,739,6.911,hunger
1687,15,1695,15.883,hunger
1688,0,640,5.999,hunger
1689,4,701,6.591,hunger
1690,69,1971,18.586,wall
1691,0,640,5.989,hunger
1692,8,1252,11.739,hunger
1693,8,974,9.152,hunger
1694,11,837,7.879,hunger
1695,5,1317,12.318,hunger
1696,2,678,6.361,hunger
1697,12,1283,12.04,hunger
1698,1,663,6.2,hunger
1699,3,704,6.617,hunger
1700,46,1111,10.49,self
1701,1,675,6.341,hunger
1702,4,820,7.685,hunger
1703,9,875,8.234,hunger
1704,1,20,0.182,wall
1705,3,774,7.266,hunger
1706,13,930,8.703,hunger
1707,5,767,7.201,hunger
1708,3,707,6.643,hunger
1709,2,683,6.413,hunger
1710,13,955,8.988,hunger
1711,2,683,6.401,hunger
1712,40,1444,13.545,self
1713,12,1068,10.083,hunger
1714,38,1201,11.387,self
1715,47,1040,9.846,self
1716,28,951,9.015,self
1717,1,667,6.309,hunger
1718,24,450,4.258,self
1719,0,640,6.063,hunger
1720,15,1228,11.629,hunger
1721,13,955,9.029,hunger
1722,0,640,6.067,hunger
1723,4,1166,11.07,hunger
1724,60,2027,19.145,self
1725,15,932,8.819,hunger
1726,1,661,6.25,hunger
1727,2,693,6.575,hunger
1728,4,701,6.639,hunger
1729,5,715,6.784,hunger
1730,34,1125,10.651,self
1731,11,1050,9.943,hunger
1732,4,787,7.47,hunger
1733,11,1217,11.537,hunger
1734,12,1361,12.881,hunger
1735,26,439,4.16,self
1736,14,530,5.017,self
1737,29,1077,10.231,self
1738,8,808,7.674,hunger
1739,6,785,7.44,hunger
1740,2,675,6.405,hunger
1741,10,1377,13.057,hunger
1742,27,921,8.734,self
1743,4,728,6.887,hunger
1744,1,678,6.424,hunger
1745,21,854,8.096,self
1746,5,979,9.291,hunger
1747,12,913,8.657,hunger
1748,17,1266,12.027,self
1749,42,1013,9.575,self
1750,43,925,8.747,self
1751,70,2371,22.393,self
1752,5,729,6.896,hunger
1753,12,596,5.637,self
1754,32,964,9.173,self
1755,43,1129,10.691,self
1756,6,1369,13.006,hunger
1757,26,757,7.182,self
1758,9,810,7.642,hunger
1759,44,1295,12.282,self
1760,6,756,7.143,hunger
1761,1,666,6.31,hunger
1762,34,1155,10.917,self
1763,2,666,6.316,hunger
1764,14,971,9.253,hunger
1765,17,599,5.671,self
1766,4,713,6.762,hunger
1767,40,1296,12.299,self
1768,50,1179,11.166,self
1769,9,795,7.556,hunger
1770,6,782,7.407,hunger
1771,43,1737,16.47,self
1772,9,1208,11.478,hunger
1773,1,667,6.297,hunger
1774,7,908,8.607,hunger
1775,9,775,7.375,hunger
1776,9,1031,9.764,hunger
1777,32,1233,11.719,self
1778,16,280,2.653,self
1779,19,401,3.796,self
1780,42,1565,14.87,self
1781,5,837,7.937,hunger
1782,1,672,6.384,hunger
1783,6,803,7.612,hunger
1784,6,771,7.292,hunger
1785,39,1236,11.733,self
1786,10,962,9.134,hunger
1787,9,782,7.423,hunger
1788,15,1066,10.116,hunger
1789,1,680,6.439,hunger
1790,9,985,9.34,hunger
1791,5,1135,10.716,hunger
1792,11,489,4.626,self
1793,11,1353,12.812,hunger
1794,20,466,4.415,self
1795,1,904,8.552,hunger
1796,9,835,7.927,hunger
1797,64,1745,16.538,wall
1798,7,1019,9.653,hunger
1799,7,426,4.033,self
1800,28,870,8.253,self
1801,13,980,9.306,hunger
1802,28,716,6.779,self
1803,0,640,6.076,hunger
1804,2,683,6.48,hunger
1805,2,688,6.533,hunger
1806,9,1192,11.3,hunger
1807,2,680,6.441,hunger
1808,50,1260,11.929,self
1809,37,1581,15.021,self
1810,49,1716,16.279,self
1811,13,1698,16.1,hunger
1812,7,805,7.615,hunger
1813,2,702,6.643,hunger
1814,28,595,5.639,self
1815,4,711,6.741,hunger
1816,5,718,6.785,hunger
1817,0,640,6.056,hunger
1818,34,1196,11.344,self
1819,9,806,7.664,hunger
1820,26,865,8.185,self
1821,1,669,6.341,hunger
1822,38,1196,11.326,self
1823,11,796,7.525,hunger
1824,4,761,7.211,hunger
1825,36,1465,13.867,self
1826,2,672,6.369,hunger
1827,22,548,5.189,self
1828,0,640,6.06,hunger
1829,37,1244,11.799,self
1830,13,284,2.679,self
1831,3,685,6.493,hunger
1832,21,465,4.405,self
1833,31,707,6.683,self
1834,23,910,8.64,self
1835,2,698,6.629,hunger
1836,45,1157,10.941,self
1837,2,906,8.569,hunger
1838,6,1056,10.027,hunger
1839,22,545,5.161,self
1840,46,1628,15.424,self
1841,0,640,6.066,hunger
1842,4,750,7.097,hunger
1843,7,811,7.694,hunger
1844,8,870,8.251,hunger
1845,14,1008,9.573,hunger
1846,41,1265,11.998,self
1847,11,891,8.462,hunger
1848,13,1000,9.524,hunger
1849,5,738,7.012,hunger
1850,3,693,6.559,hunger
1851,52,1682,15.908,self
1852,3,781,7.392,hunger
1853,31,1151,10.905,wall
1854,11,1448,13.754,hunger
1855,27,1104,10.466,self
1856,44,1165,11.034,self
1857,2,694,6.567,hunger
1858,23,1120,10.617,self
1859,28,686,6.53,self
1860,2,697,6.563,hunger
1861,1,669,6.221,hunger
1862,2,861,7.981,hunger
